# Time, Raw Flux, Raw Flux Error, PCA Flux, PSF Flux
1.880057969387518824e+03,9.806565666639385226e-01,1.000504880092322635e+00,1.000507714656789338e+00,9.995483700196917676e-01
1.880078843243795063e+03,9.810898878723334215e-01,1.001255348506191245e+00,1.000873949285036257e+00,1.000611818202162606e+00
1.880099656067855449e+03,9.814072503713048290e-01,1.000830830513935066e+00,1.000249650096966425e+00,9.994889337475267865e-01
1.880120468893947645e+03,9.835198532589793929e-01,1.001396602515619794e+00,1.001116544406514430e+00,1.000105587653372208e+00
1.880141342756766107e+03,9.826907602769822114e-01,1.001079181003060370e+00,1.000738437636903289e+00,9.997023400867127707e-01
1.880162155586339395e+03,9.828904330433479997e-01,1.000296081631313783e+00,9.999906815090010559e-01,9.998882564686876195e-01
1.880182968417772145e+03,9.836331949341163838e-01,1.000958314952208550e+00,1.000942031879768823e+00,9.991772495528737918e-01
1.880203842285222208e+03,9.834115869488264661e-01,1.001033098959586365e+00,1.001064572846187328e+00,9.996492662954660213e-01
1.880224655119114232e+03,9.838214750905618367e-01,1.000348387907696646e+00,1.000253313648801656e+00,9.996064859157116622e-01
1.880245467953578554e+03,9.836975414794207895e-01,1.001469727626764783e+00,1.000971161344937466e+00,9.999609460486997836e-01
1.880266341822734148e+03,9.835377149767233762e-01,1.000624789327743125e+00,1.000655923545644033e+00,1.000102398956737026e+00
1.880287154657924020e+03,9.841891814648155989e-01,1.000344040371632603e+00,1.000159698975220390e+00,1.000091351515022930e+00
1.880307967492806483e+03,9.833995610298411627e-01,1.000276323993435357e+00,1.000206380691042174e+00,9.997208227848778384e-01
1.880328841361964805e+03,9.840197681174112088e-01,1.000429393949530565e+00,1.000436798710872432e+00,9.993785053643159388e-01
1.880349654195858193e+03,9.837931333102261089e-01,1.000533752897573958e+00,1.000422653302039278e+00,9.996697301610992792e-01
1.880370467028641087e+03,9.844898323403448170e-01,1.001017054174322851e+00,1.000749261711328719e+00,9.998777341694391474e-01
1.880391340894466339e+03,9.848930314107433581e-01,1.001188555974602101e+00,1.001102420876922361e+00,1.000551996280634626e+00
1.880412153724827022e+03,9.839001564772725805e-01,9.996069007511890758e-01,9.994962375517421060e-01,9.998434909973228368e-01
1.880432966553939195e+03,9.843909404986187495e-01,9.990239814017970454e-01,9.993159118772132476e-01,9.995214159484142602e-01
1.880453840415089417e+03,9.852038930662067040e-01,1.001580341959325882e+00,1.001295698540630497e+00,9.995664590378784409e-01
1.880474653240846692e+03,9.852997826400854420e-01,1.000502775888748364e+00,9.999479902690202593e-01,1.000056041177756150e+00
1.880495466064112634e+03,9.852936646740144688e-01,9.998939276631108042e-01,1.000184993136633782e+00,1.000443218188773908e+00
1.880516339920120572e+03,9.851864884539134337e-01,1.000172162418904165e+00,1.000268741504007020e+00,1.000617643570864912e+00
1.880537152739742851e+03,9.852314619395695638e-01,1.000731801420644551e+00,1.000812273407661879e+00,9.999084879359074751e-01
1.880557965557832858e+03,9.858865631959073950e-01,1.000968954497155838e+00,1.000819816992341238e+00,1.000065785310038091e+00
1.880578839408316753e+03,9.852925645920089792e-01,1.000421271295546033e+00,1.000474473683260035e+00,9.997865308384956684e-01
1.880599652222696477e+03,9.859302637249940382e-01,1.000393944786659883e+00,1.000306350204723804e+00,9.997199498898484693e-01
1.880620465035907728e+03,9.859132158998394901e-01,1.000782016911551775e+00,1.000806452511798783e+00,9.999278796660115987e-01
1.880641338881956699e+03,9.859500535811103195e-01,1.000857195094538410e+00,1.000844017478305759e+00,1.000155153637100280e+00
1.880662151692949465e+03,9.863981890644073491e-01,1.000359958108121727e+00,1.000234804239347852e+00,1.000080772607663482e+00
1.880682964502951791e+03,9.865519461169707238e-01,1.000797006946625656e+00,1.000751742091323893e+00,1.000413038751188255e+00
1.880703838346958264e+03,9.869478533990835301e-01,1.000902591778678907e+00,1.000816664968536163e+00,1.000259910074483782e+00
1.880724651156238679e+03,9.865978589189241532e-01,1.001418423636434074e+00,1.001334822316385154e+00,1.000424107849849920e+00
1.880745463965353565e+03,9.863852419691850892e-01,1.001156787444635210e+00,1.000978303229030919e+00,1.000659872905807379e+00
1.880766337809322522e+03,9.872193144990298874e-01,1.001441150459550844e+00,1.001441131617889280e+00,1.000011024662865955e+00
1.880787150619453314e+03,9.879153889665144295e-01,1.001810011246521359e+00,1.001814673234254549e+00,1.000438206001160735e+00
1.880807963430764175e+03,9.883052993479669590e-01,1.000088942930751568e+00,1.000091309640252835e+00,1.000265366484494933e+00
1.880828837277331559e+03,9.886464942179867821e-01,1.001375647572376737e+00,1.001425847181657947e+00,1.000829562124947891e+00
1.880849650091370904e+03,9.883825692003682661e-01,1.001040678807950890e+00,1.000905936244132377e+00,1.000417847502647506e+00
1.880870462906925468e+03,9.879897702400062265e-01,1.000950966414650312e+00,1.001029812383333661e+00,1.000378149681777185e+00
1.880891336758488023e+03,9.876872091012823818e-01,1.000688428440574818e+00,1.000703611800805470e+00,1.000101425031187929e+00
1.880912149578662138e+03,9.887548812609819882e-01,1.000646308720792632e+00,1.000841036538745232e+00,1.000265783499777017e+00
1.880932962400484257e+03,9.874020553614477613e-01,1.000699693726534223e+00,1.000571978560083952e+00,9.998195197379031729e-01
1.880953836259299578e+03,9.881294429275383484e-01,9.996019412225178868e-01,9.999638607319876193e-01,1.000876682795300399e+00
1.880974649086661202e+03,9.896431722230938366e-01,1.001021610437689224e+00,1.000923639248002317e+00,1.000372511435909884e+00
1.880995461916440945e+03,9.874960407268649210e-01,1.000334193277016670e+00,1.000180715313718105e+00,1.000179205595940646e+00
1.881016335783421255e+03,9.882210031525722194e-01,1.000342548049460101e+00,1.000439915424087056e+00,1.000266185173607436e+00
