# Time, Raw Flux, Corr Flux, PCA Flux, PSF Flux
2.187758966360614068e+03,1.024665587246508691e+00,1.000830530260802043e+00,1.001143664889571294e+00,1.000897974467947149e+00
2.187765910683972834e+03,1.024491321506555641e+00,1.000374354273814825e+00,1.000775335525781795e+00,1.001066775883673321e+00
2.187772855007316139e+03,1.024264778816459609e+00,1.000508522369510045e+00,1.000881320337575486e+00,1.001000682367169992e+00
2.187779799330655806e+03,1.024671463552675243e+00,1.001724251553024470e+00,1.002128900844831305e+00,1.001105632357946140e+00
2.187786743654005477e+03,1.024356360493698936e+00,1.000538798428962206e+00,1.000897166888596646e+00,1.000722947353436476e+00
2.187793687977375612e+03,1.023745751302443718e+00,1.000080460242539049e+00,1.000521705902389424e+00,1.000665592370435064e+00
2.187800632300780762e+03,1.024964918521480861e+00,1.000720227903397097e+00,1.001184991833655280e+00,1.001872848437436181e+00
2.187807576624229114e+03,1.024384605569094608e+00,1.000915128381912877e+00,1.001367410416400983e+00,1.001556233628781989e+00
2.187814520947735218e+03,1.023261427256921818e+00,1.000468389401692582e+00,1.000902120861230538e+00,1.001080364724053151e+00
2.187821465271308625e+03,1.025082832702769231e+00,1.002547638379298167e+00,1.002964383936586046e+00,1.001237178515557602e+00
2.187828409594962977e+03,1.022721610923920110e+00,9.999035124623191217e-01,1.000343001795698461e+00,1.000949092454884282e+00
2.187835353918705550e+03,1.022653894810876540e+00,9.998225968239881079e-01,1.000198699700102889e+00,1.000634166229710242e+00
2.187842298242548623e+03,1.023491379313331784e+00,1.002038240394189428e+00,1.002338282036321804e+00,1.001300064676014401e+00
2.187849242566503108e+03,1.023304169068756986e+00,1.001155575089333505e+00,1.001543688279318944e+00,1.001072370604482620e+00
2.187856186890575373e+03,1.023218574571385542e+00,1.001361843146657105e+00,1.001764355713179455e+00,1.001282042687579255e+00
2.187863131214778150e+03,1.020763941699226240e+00,1.000053804467548879e+00,1.000435343275338340e+00,1.001572069480702876e+00
2.187870075539120080e+03,1.021836478448349128e+00,9.994262073502201416e-01,9.999178535888004760e-01,1.000863771806682845e+00
2.187877019863607984e+03,1.021840663930571713e+00,9.997352834232919871e-01,1.000299903343147445e+00,1.000970059807112733e+00
2.187883964188250502e+03,1.021201061266437282e+00,9.991313667201965343e-01,9.995699684216264869e-01,1.001220637478263065e+00
2.187890908513054455e+03,1.021354482750553627e+00,1.000103410374153956e+00,1.000465714746116008e+00,1.001247820778353947e+00
2.187897852838028939e+03,1.021641479326260926e+00,9.990895992860135966e-01,9.996794733977283354e-01,1.000790361489297231e+00
2.187904797163179865e+03,1.021800389058589609e+00,1.000349456720844188e+00,1.000766102434487381e+00,1.001886238155160758e+00
2.187911741488512689e+03,1.022245408377015385e+00,1.000806956521129720e+00,1.001205523097964623e+00,1.000792556281986156e+00
2.187918685814033779e+03,1.021499533270225024e+00,1.000567199092244230e+00,1.001003326084278333e+00,1.001342358444437863e+00
2.187925630139748591e+03,1.020748918312705644e+00,9.999117190812067957e-01,1.000356332778779000e+00,1.000776043913303326e+00
2.187932574465661219e+03,1.021205191311809202e+00,1.000148301926962136e+00,1.000514912299385939e+00,1.000825648307149374e+00
2.187939518791775754e+03,1.020555998072516068e+00,1.000092751610626163e+00,1.000487479973434679e+00,1.001357126954902643e+00
2.187946463118096744e+03,1.020102386042242903e+00,1.000035929617447472e+00,1.000457208280620236e+00,1.000316826183998753e+00
2.187953407444626009e+03,1.020095179251661044e+00,9.988959316576722092e-01,9.993828444095691488e-01,1.000853536593127258e+00
2.187960351771365822e+03,1.020210543337820353e+00,1.001059142858809592e+00,1.001469781056154140e+00,1.001154646715295637e+00
2.187967296098319821e+03,1.020906442123768576e+00,1.000950310294396406e+00,1.001408395675130736e+00,1.001845314935786879e+00
2.187974240425487096e+03,1.020205831205516889e+00,1.000619999502533330e+00,1.001002243341171383e+00,1.000476968587348914e+00
2.187981184752871741e+03,1.018566064600756160e+00,1.000264504110387032e+00,1.000577620595998196e+00,1.000530077258267259e+00
2.187988129080471936e+03,1.020461727708021238e+00,1.000034758917318634e+00,1.000495994204620764e+00,1.001393971569780605e+00
2.187995073408287681e+03,1.021264425586706492e+00,1.001228609843181294e+00,1.001637329581170466e+00,1.001079824358347414e+00
2.188002017736317612e+03,1.019822374509714802e+00,1.000904363809281827e+00,1.001247306655437264e+00,1.001586633966349504e+00
2.188008962064560819e+03,1.019417297442167358e+00,9.997219959627909880e-01,1.000066361189777098e+00,1.000710265994313009e+00
2.188015906393014575e+03,1.018791082777460000e+00,1.000414968938651228e+00,1.000666064425419943e+00,1.000663588859348252e+00
2.188029795050546909e+03,1.018211241038303960e+00,9.995898142068784242e-01,9.999209311658485699e-01,1.001036844576770335e+00
2.188036739379618211e+03,1.018776087109364736e+00,1.001773687135427915e+00,1.001904978392126333e+00,1.001446073847481300e+00
2.188043683708886419e+03,1.019161068318559238e+00,1.000163658934642541e+00,1.000493203236203055e+00,1.001111664477166041e+00
2.188050628038348805e+03,1.018933860386255441e+00,1.000806471200339942e+00,1.001116096252295362e+00,1.001325893296954428e+00
