time,flux
1.446099709035563365e+03,1.000351667404174805e+00
1.446120542365589017e+03,9.999220371246337891e-01
1.446141375694660837e+03,1.000042080879211426e+00
1.446162209022758816e+03,1.000331640243530273e+00
1.446183042349903872e+03,1.000106692314147949e+00
1.446203875676075540e+03,1.000675559043884277e+00
1.446224709001284282e+03,1.000098109245300293e+00
1.446245542325540328e+03,1.000426054000854492e+00
1.446266375648824123e+03,1.000173926353454590e+00
1.446287208971155223e+03,9.997615218162536621e-01
1.446308042292514756e+03,9.998451471328735352e-01
1.446328875612912270e+03,1.000095129013061523e+00
1.446349708932358453e+03,1.000645637512207031e+00
1.446370542250843073e+03,9.995264410972595215e-01
1.446391375568357034e+03,1.000406622886657715e+00
1.446412208884919892e+03,9.996238946914672852e-01
1.446433042200511636e+03,1.000100255012512207e+00
1.446453875515143636e+03,9.999298453330993652e-01
1.446474708828824760e+03,1.000431656837463379e+00
1.446495542141536589e+03,1.000229597091674805e+00
1.446516375453298451e+03,9.997102618217468262e-01
1.446537208764090792e+03,1.000471711158752441e+00
1.446558042073924071e+03,1.000269532203674316e+00
1.446578875382808292e+03,1.000183701515197754e+00
1.446599708690723673e+03,9.998870491981506348e-01
1.446620541997690680e+03,9.997389912605285645e-01
1.446641375303689074e+03,1.000077486038208008e+00
1.446683041912822773e+03,1.000223994255065918e+00
1.446703875215958078e+03,9.994823932647705078e-01
1.446724708518126135e+03,1.000208973884582520e+00
1.446745541819347181e+03,1.000077724456787109e+00
1.446766375119601435e+03,9.999000430107116699e-01
1.446787208418899127e+03,1.000120759010314941e+00
1.446808041717250717e+03,1.000241398811340332e+00
1.446828875014636196e+03,1.000085473060607910e+00
1.446849708311076029e+03,1.000159502029418945e+00
1.446870541606550432e+03,1.000187039375305176e+00
1.446891374901069867e+03,9.999263882637023926e-01
1.446912208194643881e+03,9.996771812438964844e-01
1.446933041487254059e+03,9.994791746139526367e-01
1.446953874778919499e+03,9.996958971023559570e-01
1.446974708069630879e+03,9.998460412025451660e-01
1.446995541359378876e+03,1.000257253646850586e+00
1.447016374648173723e+03,9.999911189079284668e-01
1.447078874508873014e+03,1.000040292739868164e+00
1.447099707793868902e+03,1.000514149665832520e+00
1.447120541077901635e+03,1.000141859054565430e+00
1.447162207643123338e+03,1.000093221664428711e+00
1.447183040924312991e+03,1.000218749046325684e+00
1.447203874204542217e+03,9.997053146362304688e-01
1.447224707483831708e+03,1.000169277191162109e+00
1.447245540762161681e+03,1.000614285469055176e+00
1.447266374039552375e+03,1.000447034835815430e+00
1.447287207315984233e+03,9.996119737625122070e-01
1.447308040591477948e+03,1.000009775161743164e+00
1.447328873866013964e+03,1.000140309333801270e+00
1.447349707139612292e+03,1.000331521034240723e+00
1.447370540412253376e+03,1.000419020652770996e+00
1.447391373683948359e+03,1.000116944313049316e+00
1.447412206954707017e+03,1.000507235527038574e+00
1.447433040224510023e+03,1.000250816345214844e+00
1.447453873493377841e+03,1.000638246536254883e+00
1.447474706761291600e+03,1.000655770301818848e+00
1.447495540028260848e+03,1.000687360763549805e+00
