# PSF X-COM, PSF Y-COM, PSF X-WIDTH, PSF Y-WIDTH, PSF ROT, PSF BKG
1.003281221727555517e+00,1.011810819632897207e+00,1.010463236831780742e+00,1.019718868058659522e+00,9.887567058320735347e-01,1.022761338985943569e+00
1.003295769567985163e+00,1.011820718429160992e+00,1.011669167255708990e+00,1.020807703768772612e+00,1.009548042621033925e+00,1.023428845566018763e+00
1.003315215893824552e+00,1.012039346524453487e+00,1.010120690174935998e+00,1.020535649170849934e+00,1.061204277741259361e+00,1.023400722327764134e+00
1.003308195002259318e+00,1.011744742662428642e+00,1.011125866981456012e+00,1.020742601805454841e+00,1.007302471045129932e+00,1.022529815620863092e+00
1.003375712876330539e+00,1.011763590833786974e+00,1.008262501794342070e+00,1.017773358142780804e+00,9.773616002183513896e-01,1.021322645793232509e+00
1.003400493317970099e+00,1.011524966872628939e+00,1.009711713478422146e+00,1.018799479526983465e+00,9.596754523824337912e-01,1.023588667092953486e+00
1.003311567403903259e+00,1.011683193195214159e+00,1.010048954191154369e+00,1.019167596293826472e+00,9.431987669093361282e-01,1.023228365618915392e+00
1.003348097819974472e+00,1.011676940149530246e+00,1.011547651060927366e+00,1.018396281842647744e+00,1.003134365933931571e+00,1.023136483994411483e+00
1.003367295140993543e+00,1.011642133512032693e+00,1.013394549837156600e+00,1.022728281224815294e+00,1.038572875111428706e+00,1.022708081712414563e+00
1.003428760130803843e+00,1.011517100359073051e+00,1.011667776561564702e+00,1.020512545695642315e+00,1.065474434969504003e+00,1.022449361720966676e+00
1.003304987290151828e+00,1.011607363835276718e+00,1.011448469629043778e+00,1.023308043704843184e+00,1.055073147636468978e+00,1.022255983507422084e+00
1.003494120096164899e+00,1.011539789273965484e+00,1.010727720438815869e+00,1.021828391503665667e+00,1.081127874928053290e+00,1.022587203116814614e+00
1.003360155691015443e+00,1.011466809518470233e+00,1.012025035937726525e+00,1.022787576803618315e+00,1.018959583812341751e+00,1.023012577301057657e+00
1.003366396602147326e+00,1.011509893702204232e+00,1.010742037472548871e+00,1.023047279640577401e+00,1.071971997321836900e+00,1.022356483778213976e+00
